rank_position,player_id,username,total_wager_usd,active_days
311,"79,572",slyskyfox,0,0
312,"79,585",beamstzyz,0,0
313,"79,590",Rezzy,0,0
314,"79,591",sendjicash,0,0
315,"79,593",MikeEze,0,0
316,"79,613",Emzios,0,0
317,"79,615",LTBTCX,0,0
318,"79,636",Taiga,0,0
319,"79,641",Battlebroker,0,0
320,"79,689",johndoe1,0,0
321,"79,727",Nigel1992,0,0
322,"79,592",Chaker,0,0
323,"79,750",akgamingtoday,0,0
324,"79,751",mewth23,0,0
325,"79,754",maxwinvishal17,0,0
326,"79,784",SGCap,0,0
327,"79,809",TankYi420,0,0
328,"79,773",SpecialX,0,0
329,"79,887",RayQ,0,0
330,"79,930",Buzzingmatty20,0,0
331,"79,931",Yongdiba,0,0
332,"80,025",horseman,0,0
333,"80,097",Sardirich,0,0
334,"79,160",Degen,0,0
35,"79,786",MahaWin,0,0
