rank_position,player_id,username,total_wager_usd,active_days
"1,""79,131"",neksann77,""172,675.98"",28"
"269,""79,633"",Braystacks,0,0"
"270,""79,740"",Tomy1328,0,0"
"271,""79,922"",marzz,0,0"
"272,""80,551"",KetaMina,0,0"
"273,""79,349"",peaks69420,0,0"
"274,""79,492"",KingProfits,0,0"
"275,""79,667"",Singaqti,0,0"
"276,""79,847"",QueenNova,0,0"
"277,""79,606"",metadegen,0,0"
"278,""79,743"",erakthewise,0,0"
"279,""80,631"",teyon,0,0"
"280,""80,735"",pookie,0,0"
"281,""79,546"",Bvvb,0,0"
"282,""79,629"",U12mee13,0,0"
"283,""79,634"",sweetvampire,0,0"
"284,""79,864"",Shivchoyal,0,0"
"285,""79,388"",Himanshu157,0,0"
"286,""79,560"",Katowi,0,0"
"287,""79,575"",anudailyhere,0,0"
"288,""80,538"",eduardocar51,0,0"
"289,""80,616"",Richard10,0,0"
"290,""79,425"",Pjuck3n,0,0"
"291,""79,509"",d3moonn,0,0"
"292,""79,558"",miggsbtx,0,0"
"293,""79,355"",CanoAj,0,0"
"294,""79,831"",Cryyptonsingh,0,0"
"295,""80,481"",paandoee,0,0"
"296,""79,574"",Docchj,0,0"
"297,""79,441"",Jonsnow,0,0"
"298,""80,040"",archl,0,0"
"299,""79,524"",RalfKaestner,0,0"
"300,""79,742"",Luckie137,0,0"
"301,""79,764"",soulsol,0,0"
"302,""79,438"",cloudy09123,0,0"
"303,""79,514"",oxyahqiqi,0,0"
"304,""79,592"",Chaker,0,0"
"305,""79,786"",MahaWin,0,0"
"306,""79,797"",Cryptonsingh,0,0"
"307,""80,373"",Xygska,0,0"
"308,""80,684"",kriptomanniacc,0,0"
"309,""79,455"",Rick,0,0"
"310,""79,486"",Solananaa,0,0"
"311,""79,576"",dogelon,0,0"
"312,""79,379"",UnderButcher,0,0"
"313,""79,499"",rvns,0,0"
"314,""79,508"",Levion,0,0"
"315,""79,530"",jingbar,0,0"
"316,""79,609"",chandrwn,0,0"
"317,""79,694"",DESI,0,0"
"318,""79,541"",Francis0204,0,0"
"319,""79,559"",Blinhxonex,0,0"
"320,""79,780"",dogehodler,0,0"
"321,""80,478"",mikaelseptiadi,0,0"
"322,""80,615"",007x,0,0"
"323,""79,353"",defnoteds,0,0"
"324,""79,617"",synzviky,0,0"
"325,""79,375"",Mintifypro,0,0"
"326,""79,496"",Riping,0,0"
"327,""79,511"",CEObitcoin,0,0"
"328,""79,556"",FluffySushiK,0,0"
"329,""79,579"",Slimturtle,0,0"
"330,""79,783"",Mybad98,0,0"
"331,""80,004"",ember,0,0"
"332,""80,477"",kamarkamus94,0,0"
"333,""79,392"",JamieWest101,0,0"
"334,""79,632"",hansootan,0,0"
"335,""79,741"",champguy,0,0"
"336,""79,527"",jwishere,0,0"
"337,""79,562"",yamalszn,0,0"
"338,""79,604"",Marshmallow,0,0"
"339,""80,657"",Noble01,0,0"
"340,""79,468"",sxseth,0,0"
"341,""79,573"",Venky69,0,0"
"342,""79,767"",kipasangin,0,0"
"343,""79,785"",Mattmatt98765,0,0"
"344,""79,351"",aljon,0,0"
"345,""79,714"",Dgenerall,0,0"
"346,""80,618"",123monkey,0,0"
"347,""79,415"",Wtban,0,0"
"348,""79,450"",GBN98,0,0"
"349,""79,623"",Olaunited,0,0"
"350,""79,853"",Brief,0,0"
"351,""79,483"",rayatsukki,0,0"
"352,""79,581"",Stringerjoeyy,0,0"
"353,""79,612"",SesKy69,0,0"
"354,""79,429"",Abrohamlincoin,0,0"
"355,""79,673"",Britania,0,0"
"356,""79,892"",XukiNop,0,0"
"357,""79,384"",nas3rcs2,0,0"
"358,""79,706"",tloczus420,0,0"
"359,""80,627"",Galio,0,0"
"360,""79,571"",annxwinsol08,0,0"
"361,""79,602"",Charewannm,0,0"
"362,""79,739"",snoopdog,0,0"
"363,""79,758"",Georg,0,0"
"364,""80,095"",Immortal23,0,0"
"365,""79,444"",M3tr071,0,0"
"366,""80,648"",Yahizaru,0,0"
"367,""80,620"",BTXUSERDIED,0,0"
"368,""79,387"",cenze,0,0"
"369,""79,516"",Ashrey,0,0"
"370,""79,432"",Manal22,0,0"
"371,""79,549"",meiidnight,0,0"
"372,""80,651"",Jseyy,0,0"
"373,""79,522"",aliora,0,0"
"374,""79,940"",Chasebtc,0,0"
"375,""79,637"",LossmanCrack,0,0"
"376,""79,686"",Ellem,0,0"
"377,""79,582"",Elbash143,0,0"
"378,""79,584"",4dada,0,0"
"379,""79,747"",Kpearl86,0,0"
"380,""79,824"",zione420,0,0"
"381,""79,463"",SheffAura,0,0"
"382,""79,539"",MGWASTAKEN,0,0"
"383,""79,553"",WeLoveButcher77,0,0"
"384,""80,744"",Lwyallyy15,0,0"
"385,""79,620"",shai123,0,0"
"386,""79,911"",Sonumatchu,0,0"
"387,""79,430"",Nemo078,0,0"
"388,""79,480"",strike31,0,0"
"389,""79,501"",Amandev919,0,0"
"390,""80,348"",Ram2257,0,0"
"391,""79,413"",riansantana,0,0"
"40,""79,614"",romergg69,0,0"
